7.79E-01 1.30E+00
9.16E-01 1.26E+00
9.05E-01 1.26E+00
9.06E-01 1.25E+00
9.39E-01 1.25E+00
9.67E-01 1.21E+00
9.64E-01 1.21E+00
9.14E-01 1.20E+00
9.39E-01 1.19E+00
9.61E-01 1.18E+00
8.98E-01 1.16E+00
9.12E-01 1.16E+00
9.42E-01 1.15E+00
9.66E-01 1.14E+00
1.05E+00 1.13E+00
1.01E+00 1.13E+00
9.60E-01 1.12E+00
9.69E-01 1.12E+00
1.08E+00 1.12E+00
1.15E+00 1.11E+00
1.03E+00 1.10E+00
1.01E+00 1.09E+00
9.67E-01 1.09E+00
1.09E+00 1.08E+00
1.06E+00 1.08E+00
1.12E+00 1.08E+00
1.03E+00 1.07E+00
1.09E+00 1.06E+00
1.07E+00 1.05E+00
1.16E+00 1.03E+00
1.08E+00 1.03E+00
1.11E+00 1.01E+00
1.10E+00 1.01E+00
1.16E+00 9.69E-01
1.14E+00 9.67E-01
1.08E+00 9.67E-01
1.13E+00 9.66E-01
1.12E+00 9.64E-01
1.20E+00 9.61E-01
1.21E+00 9.60E-01
1.13E+00 9.42E-01
1.12E+00 9.39E-01
1.21E+00 9.39E-01
1.25E+00 9.16E-01
1.25E+00 9.14E-01
1.18E+00 9.12E-01
1.19E+00 9.06E-01
1.30E+00 9.05E-01
1.26E+00 8.98E-01
1.26E+00 7.79E-01
